class,text
Auto, I have recently purchased a J30T with moderate miles  I shopped for a car that was looked after and paid more for it  As a former Auto Technician I know what to look for and what to expect yet every time I drive this car I say to my self  Dam that s a great car   and Yes I truly do  The car affords a level of style and comfort that is beyond compare for the price  I had looked at a number of J30 s with some having covered 160K miles   I checked them to see where the problems show  They were great other than just basic owner neglect The car is extremely quiet and smooth yet does not distance itself from a mild degree of sportiness  Performance is smooth yet impressive yet the power is well handled by braking and suspension systems of similar refinement The appointments available with the car were somewhat sparse yet the standard of quality and functionality were apparent  The Bose sound system for example has remarkable output and clarity without all the fancy dials  My only complaint  after 15k miles  is a lack of fold down rear seating and slightly high fuel consumption I went from driving a Porsche to the Infiniti and feel it was a step up in style and understated performance  
Camera, I bought this product because I need instant gratification  I can t stand the torture of waiting for my photos to come back from the lab  and I don t want to pay extravagant sums for one hour developing  The Sony Mavica is the perfect solution for the click happy shutterbug who likes to take lots of photos  but doesn t have an in home darkroom or an interest in the nuances of traditional photography The great thing about the Mavica is that you can take a photo and instantly see how it turned out on the built in color LCD display  If it sucked  take it again until you get it right  Non digital cameras don t come close to offering this feature With film  you take the photo and cross your fingers  If it s a one time shot  forget it  When you re using the Sony Mavica  you can try a variety of shots  with or without flash  and look at the photos until you get what you want  You can take black and white photos or add a  quot sepia quot  effect that looks like an old tyme photo that you get at the county fair A standard high density floppy disk is your  quot film quot  and holds about a ton of standard resolution photos  great for internet use  and half that amount of high resolution pix that you can print out on your printer One criticism that I have heard about this product is that it does not produce the glossy  permanent prints that you get when you use a film camera  If you are willing to spend some extra money  you can get a decent inkjet printer for a few hundred bucks that  when used with special photo paper  prints photos that look a lot like traditional prints  If you go this route and are willing to learn some software  you will get permanent prints that are superior to those that you get from the photo lab You can correct red eye and other common problems  adjust contrast and color just as you do on your TV  and even remove your finger or the camera strap from the shot  You can print wallets and 8 quot x10 quot s to your heart s desire without paying for reprints  The newer Mavicas can store a minute long MPEG movie  complete with sound  And like I said  the photo lab people never see your photos  Start your own  ahem  website  Ooh la la The fact that this camera uses floppy disks poses a problem for some computer owners  People with Windows based PCs generally have floppy drives and can use the Sony Mavica disks  The iMacs  however  don t come with a floppy drive  You ll have to shell out some extra bucks for one if you want to use your Mavica  since I don t think you can connect USB cables like with some other digital cameras If you do consider a Mavica  take note of the useful features that you get with the higher end models  and be sure to get a decent printer and some photo quality paper to get the most out of your purchase br br  
Auto, I have owned my Buick since 53000 km and I am now approaching 60000 on it  I must say it s the nicest car I ve owned and driven in a while  I previously owned a 1995 Grand AM which doesn t compare at all to the Buick  I have also test driven a 2002 Malibu  I have also rented a Lincoln Continental which I think is almost comparable to this vehicle  but not quite I was very pleasantly surprised by all of the basic features on this model  There is an indicator light for low fuel  low washer fluid  change engine oil soon  low tire pressure to name a few  As well  the three built in tether hooks in the back for car seats are a must have for me as I have two small children  I took a while to get used to the size of the car as I was previously in a smaller car  As well due to the high back  I m still not entirely comfortable when backing up  I tend to over estimate the size of the back  I would rate this vehicle average to above average on acceleration  Due to it s size and weight  it s not a sports car and I don t think it was meant to appeal to that type of consumer  I find that overall the Buick Century is easy to handle  It s a great car at a reasonable price  You can also read some more info on this car by copying and pasting this link to your browser http auto consumerguide com auto used reviews full index cfm id 2287 htm Happy car shopping  
Camera, This was my first Digital camera so I did quite a bit of research  Unfortunately  Pic quality is not everything as I found out  The camera is really cool and takes great pics but the viewer is a bad place  By that I mean that whenever I take a picture I leave a nose print on the LCD screen  It s also a drag to have to slide the lens protector back and forth to turn it on and off  One other big time bummer is that it doesn t come with an AC adapter  Fortunately  I have a SmartMedia reader so I don t have to drain my batteries while downloading pics  One other thing The manual is a damn shame  It looks as if somebody that was about to go on vacation wrote it  I can t recommend this camera because I m not in love it it I just own it  It wasn t a waste of money but If I know then what I know now I would have bought something else  Hope this helps  P S  The batteries It takes 4 AA batteries and it consumes them like mad  Invest in rechargeable is all I can recommend  
Camera, Minolta DiMAGE 7Hi is in a digital SLR with 5 megapixel 2 3  CCD sensor class  currently also populated by Nikon s Coolpix 5700  Sony s DSC F717  and Minolta s own DiMAGE 7i  Besides the high pixel count  these cameras  larger  better sensors and lenses  compared to 1 1 8  format and smaller digicams  result in better tonality  sharper images These days  it seems that digital cameras become obsolete the moment they are manufactured  Minolta DiMAGE 7Hi comes barely 6 months after the introduction of its similar looking sibling  the 7i What compelled Minolta to release an upgrade this soon  What makes the 7Hi stand out  Should you choose it or another camera in its class Minolta  one of the  big three  camera makers  besides Canon and Nikon  and the second most profitable one of the three  is the only one of the bunch that s been for a while without a digital 35mm format SLR body that would work with their lenses  Therefore  it appears  they feel the extra pressure to deliver viable  performance and cost wise  digital photography options to those of Minolta users who are advanced photographers This is very evident in 7Hi  It feels and works like a real photographic camera that happens to be a digital camera  as opposed to a digital age gadget that takes pictures that so many digital cameras are  Its performance  shutter lag  delay between you pressing the button and the camera taking the picture  frames per second speed and count for continuous shooting  time to ready after the shot  image retrieval  and focusing speed  are all at the top of its class   state of the art  7Hi s focusing system is fast and features an option for you to have the camera focus on any point in the frame   Things mentioned so far in this paragraph are all improvements on top of Minolta s own DiMAGE 7i s already impressive performance 7Hi s zoom control is a well dampened and smoothly operating ring that s mechanically linked to optical elements  allowing a very fast  precise  and tactile control of the focal length  By contrast  competitors in its class only offer a  zoom by wire   electronically emulated zoom ring  or  worse  T W zoom buttons  i e  camcorder style zoom controls  7Hi s high legibility display shows image histogram  distribution chart of light and dark parts in the image  in recording and playback modes  allowing you to monitor and optimize exposure  Its lens covers a span from the highly useful  relatively wide in 35mm film camera terms 28mm to the telephoto 200mm  with very little distortion throughout the range   Sony DSC F717 s lens only opens up to 38mm or so at the widest Overall the camera has a solid  quality feel  It comes from the shape and surface of the grip  and from how the various dials and controls operate  I ve played with the Minolta 7i and the Nikon 5700 at the store when I was picking the 7Hi  and to me  the 7Hi as a camera had the best feel of the three overall The camera works with Minolta s impressive flash system  including the powerful 5600HS  that even works wirelessly while preserving TTL   through the lens exposure metering  two excellent macro flashes  great for flowers   other close ups  and a cheaper and less powerful midrange flash  There s also a PC sync socket to trigger studio   generic flashes  no TTL with those though  but with a digicam  you do see the results right away  There are other features that are too numerous to mention here  that may come useful to some photographers Now that you know what s great about this camera  here s what isn t  There is some grain like noise evident in the images  This is especially visible when photographing smooth flat areas of a given color in subdued light  particularly if that color is blue  This is a typical and fundamental problem for all digicams  and I would say is not far out of line with the other prosumer 5MP SLR competition  but I wish 7Hi were the best in this regard as well  No video capture mode in the true sense of the word  I know it s a gimmick  but I like the idea of having a video mode on a digicam  even if it s a 320 x 240 pixels x 15fps for a few seconds  This camera s CPU speed and buffer size would with little doubt allow for at least 320 x 240 x 30fps or 640 x 480 x 15fps  both highly useful for the web streaming media  It s a shame that Minolta did not include this capability  they did provide 7fps capture at an even higher resolution  The capacity of the supplied CompactFlash card is pathetic  The camera battery performance  using the excellent NiMh batteries supplied with the product  is average by today s standards  I am typically getting around 200 shots per charge with my typical flash and AF use  and maybe 250 if no flash is used and no extensive focus   refocus   try again AF activity takes place  Fortunately  7Hi uses  4  AA s  so it is easy to get cost effective extra batteries  such as the ones recommended below  I wish they made the camera USB 2 0 enabled  It s USB1 1 only  like most other digicams Recommended accessories  Maha MH C401FS 100 min NiCd NiMh individual 4 cell charger  Maha 1800mAh NiMh batteries  2 or 3 sets ideal  Lexar 512MB 24X CompactFlash card  more than 1 ideally  Minolta AC Adapter AC 1L  for powering directly off wall outlet  Minolta or Hoya or B W multi coated clear UV protector filter  49mm  Minolta 5600HS flash  LowePro bag to hold it all  Lexar FireWire  if you have it  or USB CF card reader Good shooting  
Auto, I had a 1984 Saab  a 1996 Saab and now a 1999 S3  One of the things I like the best about this car is the way it looks  which is what made me buy it in the first place While I love Saabs and the way they drive  the 93 is my fav so far  Saab has said there were 1000 changes from the 900 to the current model  One of the things I noticed is the handling  which is much tighter  Also  the ride is slightly less bouncy and more steady Saab has continued to put the ignition on the floor and it has lots of cool features   the heated seats  CD player  back wiper and weather radio  But perhaps the best part is the storage  I have moved in and out of college and grad school in Saabs  I have known people who have fit fridges and other large items in the back  And when those seats go down the large mouth can fit almost anything My mom continues to proclaim that the Saab is a fun ride  If you are not looking for a car that can hold five adults  what something that is cool looking with style and has lots of cargo space   check it out It also takes a beating  I was hit from the front and the rear at the same time during a Boston snowstorm and my car was the only one not on a tow truck br br  
Auto, Nissan has needed a redesign of the Sentra since 1997  that model was economical and affordable but difficult to look at  Along comes the fresh looking Sentra for 2000   and not a minute too soon  However  Nissan has taken that car a step further now offering many different models based on that one  well built and sporty canvas  The Sentra is available in SE  XE  GXE and SE R trim levels  Should you want to enjoy an affordable and sporty sedan while saving the planet  Nissan has you covered there as well  The Nissan Sentra CA  short for Clean Air  is an attempt to sell you the social consciousness of an electric car with the fun and convenience of a normal car   is there anything this platform can t do To the casual observer  the Sentra CA looks just like a normal compact car  Well  normal for Nissan  their cars do have a bit of style that seems to be missing in others such as the Corolla  Civic  Cavalier etc  Remember when the Nissan Maxima was advertised as a  four door sports car  and when magazine ads touted the old Sentra SE R as the spiritual predecessor to the Datsun 510 and BMW 2002  One can only hope Nissan is getting back to the good ole days of performance and style  Back to the Sentra CA  It looks like a normal car  with the exception of the large  clean air vehicle  decals stuck to the rear doors  Nissan says they can be  easily removed  but also points out that a least one customer was upset when the unsightly decals were removed without his her permission  Sounds reasonable  half the fun of buying an environmentally friendly car is letting everyone else know that YOU are not  part of the problem  How selfless Other than the decals  the Sentra CA is quite unremarkable  In fact the car is notable for it s unremarkable ness From behind the wheel  one would never suspect the space age technology being utilized under the hood  Double walled exhaust  quick catalyst warm up and a radiator that has a special coating which actually changes ground level ozone  smog  into oxygen   this car is cleaning the air   It also meets California s strict SULEV emissions requirements for the year 2004  Frankly the Sentra CA is the cleanest burning gas engine currently for sale  and most drivers will never sense anything different when compared to other compact sedans  The 1 8L engine produces 122 hp  that is 5 less than a non CA Sentra  but it s hard to notice on the road  Acceleration is adequate  but typically cars in this price range  about  15 000  are anything but powerful  Merging onto the freeway is no problem  can t wait for the Sentra SE R  Road noise is minimal for a small car  and the automatic transmission shifts smoothly  The main  or perhaps only  drawback to the Sentra CA is what seems to be a higher than normal overdrive ratio  At times the Sentra seems to bog down under light acceleration  my suspicion is that this is done purposely to keep engine RPMs down  thereby lessening emissions  Handling is precise and a huge improvement over previous Sentras  The Sentra has a sportiness to it similar to the Honda Civic  but which is lacking on the Corolla Inside the Sentra CA is a basic  normal car interior  Nissan has improved the materials used inside the Sentra  the overall look and feel is much more pleasing  The dash  audio controls  seats and gauges all have the look and feel of a car costing much more  AM FM CD is standard  but a cassette player is nowhere to be found  People do still listen to cassettes don t they  I must be getting old  The stereo actually sounds very good and rivals the stock stereo found in the Honda Insight and Civic  Button and switches fall nicely to hand  Nissan has included a nifty storage area on the top part of the dash  not so unusual  but this one is covered  Finally a place to keep sunglasses out of sight and out of the hot sun  Rear seat room is a bit cramped  but then again this is a small car  Overall  the 2001 Sentra CA is reasonably adequate car  It does everything it s asked to  and more  There really is nothing exceptional about this little car  and that is just how it should be  Many people don t want to ruin the environment  it s just that they want to not ruin the environment in as simple a way as possible  Nissan has answered the call  no charging stations  no limited driving range and no hassle  Besides  the Sentra is good looking car as well  What more could you ask   save the planet  don t look dorky  It s just that simple  
Camera, The 3040 represents a new advance in digital cameras  complete with super fast f 1 8 lens  tremendous range of practical user controls and  most importantly  fabulous pictures  Just finished two beautiful 5X7 portrait enlargements of the kids for framing that meets or beats the quality of my old Nikon 35 mm system  Photo quality being  after all  job one  the Olympus shines in that department  especially when using the higher quality photo setting  in Olympus parlance SHQ mode  Quirks abound  nonetheless  For seriously 35mm photogs  as I was in the digital dark ages  perhaps the single biggest adjustment on the 3040 and other digital cameras is the lag between pressing the shutter release and picture being taken  The 1 2 seconds delay  which can seem considerably longer  can interrupt the timing of shots but  with some practice  one learns to adapt and make do  A quirk more unique to Olympus the popping out of the lens upon turning the camera on accompanied by the popping OFF of the lens cap  should you forget to remove it yourself  is associated with a rather alarming but apparently harmless grinding sound  Solution  tether that cap to the camera with a cord that Olympus has  finally  provided  it was not on the original c 3030  and remember to simply pop it off each time you turn the camera on problem solved  More troublesome was the woefully inadequate download instructions in the otherwise fairly decent manual  which thankfully includes an index  Olympus actually has pretty good download instructions on their website  which they ll also send you if you email them  but I wasted many hours struggling to download before uncovering the elusive instructions online  Why they failed to include these instruction in the manual is a mystery that only Olympus can  and should  explain  And forget about getting a live person on the phone I tried multiple times for several hours without success  Once mastered  however  downloading via USB is a snap and works like a charm  The Camedia software is very rudimentary but easy to use and functional On to the good stuff the fabulous creative options  My favorites  35mm motor drive style setting  a tremendous advantage with digital enabling rapid shooting  a dozen shots in seconds  though not with flash  in which you can quickly discard the bad shots and keep the good ones great for shooting kids during those precious action moments  black and white or sepia  very cool if you re into that  five levels of picture quality  memory eating SHQ is superb  can get 20 SHQ shots on 32mb card  control of flash power  aperture shutter speed manual settings  ISO  film speed equivalent  settings  auto manual spot focus choices  and a great touch for photographers interested in such details you can see key information  F stop  shutter speed  ISO  on the monitor screen accompanying each picture for a few seconds  should you choose to  More good stuff  the fast f1 8 lens allows for more available light shots without flash and greater ability to throw the background out of focus for softer  more appealing portraits  Batteries  Picked up four NiMH with charger for about  25 at Radio Shack still going strong after two days of extensive use  The camera body feels right  at least in my hands good weight  balance  and is just small enough to stick in a pants pocket should you choose to  Best of all  picture quality  including incredible enlargements  The c 3040 in SHQ mode can produce 8X10 portraits of quality sharpness and color  totally suitable for framing and displaying  If you re looking for high quality photos  fast lens  user friendly body and are willing to live with a few minor quirks  you d be hard pressed to beat the c 3040 at this price point  
Camera,    From Olympus to Kodak  b I enjoyed using an Olympus d450z for about a year  read my detailed epinion on this product to know more  but I eventually wanted a camera that would Give  easier access to manual functions   because the numerous steps needed to bypass the automatic functions of the d450z led me to use it like a point and shoot most of the time Offer a  direct USB connection  to download photos to my desktop and notebook Be more  sturdy   the lesser the plastic  the better Translate  accurate colors   my Oly d450z always had a blue tint Be  widely available   so that an eventual repair wouldn t leave me without a camera for months  which was unfortunately the case in my previous experience with Olympus Having access to higher resolutions  such as 3 1 mega pixels  wasn t an incentive to change my camera  but I eventually came to the conclusion that it sure wouldn t hurt if I ever want to have some of my works printed out After many price and features comparisons  I chose the Kodak DC4800  I waited to use it extensively before writing about it here  After two months of usage  I think I m ready to share my thoughts with you b  A success in design and ergonomics  b The DC 4800 s design is  in my opinion  a real achievement in ergonomics  All the accessible buttons are well placed on the casing  so you don t constantly have to look at what you re doing  after just a few minutes playing with it  your fingers will do the working The casing feels very solid  but the two plastic doors  for connectivity and the memory card  looks like they could break at any time  Also  the only button that I don t like is the power button  you have to push it very hard and low  probably to prevent unintended shutdowns or powering  and I personally prefer when electronic material that reacts to a light touch You could pretty well use this camera as a point and shoot if you d like to  But as the widely used manual settings have been put on the casing of the camera  you ll enjoy manually overriding the automatic settings  And contrary to many point and shoot  you don t constantly have to browse through a hierarchy of menus to set it up  Here are the functions accessible manually b Self timer   to chose the moment your camera will triggers itself b Burst mode   to take 4 pictures in sequence  at the lowest picture quality  you can take up to 16 b Landscape   to prevent the camera from focusing on a near subject and have the horizon in focus b Close up   To let the camera adjust the focus to take a subject between 0 7 2 3 feet in great details   b Flash and flash settings   Will let you chose between flash  no flash  red eye b Exposure compensation   from  2 to  2  This will let you chose to over  or underexpose your subject  to adapt to various light conditions b Aperture   f 8  f 5 6  f 2 8  You can decide on the depth of field  so that you can have sharpness and blurriness where you like it on your photos  You can also choose P for the automatic settings to take over b Zoom  in out  You get a 3x physical zoom  and also a 2x digital  which adds up to the 3x automatically when you press the zoom button long enough  You could also choose to block your camera from entering the digital zoom mode  to prevent yourself from using it  I have yet to see a photo which benefited the use of the digital zoom  they re always grainy  not only with the Kodak s digital zoom  but with all those I tried I would have liked to access the ISO settings and exposure modes manually  but these have been put on menus accessible on the LCD  Also  the optical viewfinder could be a little bigger b  Limited memory for your memories  b The Kodak DC4800 comes with a 16 mb Compact Flash memory card  which is a complete nonsense for a 3 1 mega pixels camera  At 3 1 MP  you ll be able to fit  1  yes  ONE  uncompressed picture on it  If you compromise and add compression  you ll have 15  light compression  or 32  high compression  You could also choose to use less mega pixels  then you d fit  21   2 2  28   1 6 and 47   0 8 Needless to say that you ll soon have to consider adding another Compact Flash to your starting kit  I personally went for 48 mb  on which I can fit 5 pictures   3 1 uncompressed mega pixels  I rarely use it  48   3 1  light compression  63   2 2  85   1 6 and 143   0 8     Vivid colors and great details  b Let me now get to the main point of interest  picture quality  Kodak s digital pictures are known for their vivid colors  and the DC4800 reaffirms this reputation  The default color mode setting is at  saturated  which contributes to the vivacity of the colors  If you prefer  you can go for the normal mode  or even shoot in black and white or sepia You can also adjust the white balance manually  which will sure be very useful as I live in a country of snow  I m in Qu bec  I still have to experiment with this function  though  because I sometimes end up with a greenish tint on my photos when I override the default white balance settings Also  the 3 1 mega pixels will give you incredibly crisps and sharp details  even if you use low compression  but you ll eventually lose it if you use a high compression mode  which I don t recommend  The most annoying problem I had so far with the DC4800 is its inability to focus in low light conditions  It rarely focuses on the subject I want to photograph  but looks for any source of light and focus at that point  It gets annoying to have sofas and tables focused when people around are all blurry  As for the flash  it doesn t wash the picture as much as my Olympus  did  but still  I don t like using it  preferring to play with ambient lighting     Batteries down  down and down again  b My main complaint with the DC4800 goes to the battery  While AA NiMh rechargeable batteries in my Olympus d450z lasted for hours and hours of shooting with the LDC screen always turned on  Kodak s proprietary Li Ion battery that s used in the DC4800 doesn t impress me at all  If I keep the LCD on  it doesn t last more than 40 pictures  after which the LCD turns itself off  I can keep shooting without it for a while  but I don t like it at all  first  the optical viewfinder is too small  second  some of the main functions such as the ISO metering  shutter speed and white balance  are only accessible through the LCD screen  I suggest investing in an extra battery  consider the kit that includes a charger  it s 10  more than buying the battery alone  and it will recharge your batteries in 40 minutes  there s also the DC4800 expansion kit that will include the battery and charger  plus a decent carrying bag  a cleaning lens pen and an inkjet sheets sample pack   that s the one I chose and I m happy with it  The charger is very portable  and it won t be a problem to carry it around in your camera bag b  A few words on accessories  b b Neck strap   Useful to prevent dropping the camera  but it is so I d prefer a wrist strap  If you plan on using it  be careful  though  that the LCD may get scratched if you have hard buttons on your chest   b Lens cover    It falls down pretty easily  so you might want to consider fixing it to the casing with a small cord   b Lithium ion battery   This is a proprietary format  which is apparently also used in some other brands  so if you go on a trip b AC adapter for in camera charging   This takes very long  up to 4 hours  I strongly recommend buying a kit including a fast charger and an extra battery b USB cable   Perfect to transfer the pictures to most recent computers  Mac or PCs b Video out cable  for viewing pictures on TV  Never used it b KODAK software   It installed like a charm on my desktop computer  but my Sony Vaio couldn t go through the whole installation  I ended up installing the drivers manually  searching for them on my desktop and copying them one by one on the Vaio  Painful operation  but it now works perfectly on both computers  When evaluating the cost of the DC4800  consider you ll very soon what to buy these extra accessories b High capacity Compact Flash memory card   consider at least 48 mb b Expansion pack for the DC4800   item 1174770   100  You ll get Li Ion Battery  Li Ion Battery Charger  Premium Camera Bag  Inkjet Sample Pack  5   4 x 6 sheets  and a Lens Pen  You could also go only for the battery  70  the battery and charger  80  As you can see  for only 20  more  you get quite a lot with the Expansion pack  which I recommend strongly You may eventually consider buying extra lenses  in which case you ll also need to spend 25  on the lense adapter  it came as a promotion with mine  
Camera, Many years ago  I was deeply in 35mm photography  I had a full gadget bag with several lenses  filters  sunshades  reflectors  flashgun  tripod  exposure meter and of course several different cans of film  I also had a darkroom with an enlarger and all the chemicals and trays  I even had a developing tank and a place to hang drying prints  Now all this was just for black and white photography  Today  I ve replaced all that with a few ounces of fully integrated digital camera that easily fits in a pocket  The film is now a mini disk about the size of a postage stamp  My PC has replaced the dark room  I no longer have to buy film or chemicals or flashbulbs  And best of all  I can view my pictures in full color in minutes  edit them quite rapidly and share them with friends and family around the world almost instantly  I am a true believer in modern photographic technology Digital cameras seemed to come in two flavors  low cost toys and high priced professional tools  Now one of the premier camera manufacturers  Olympus  has released an affordable  full featured camera  the D 360L  that has evolved from their successful D 340R film less Digital Camera  This is not just a low cost version of the award winning D 340R  but the D 360L is a completely redefine the entry level class camera  The street price is less than  300  and amazingly it has all the convenient features you need in a film less digital camera  including a compact  lightweight design  low price  all glass aspherical lens system  and 2x digital telephoto mode  Its features compare quite favorably with cameras costing twice as much or more  The picture quality results from the 1 3 mega pixel CCD  charge coupled device  array  that functions much like a scanner  There are several choices in mode of picture quality  again analogous to a scanner that allow you to choose between quality level and the number of pictures that can be stored  There is an 8 MB  smart card  replaceable media memory card that stores the pictures and is in essence  the film  This smart card has panoramic capability so that you may take panoramic photos  There are cards of various capacities available that range up to 32 MB  The included 8 MB card can store up to 122 pictures  depending upon the quality level selected  For example  Standard Quality  640 X 480 pixels  can have up to the 122 pictures while Super High Quality  1600 X 1200 pixels  can have as few as 2 pictures stored  There are several choices in between  Again  think of your scanner and the pictures produced by the different quality settings  Standard features include selectable ISO ratings  exposure compensation  selectable digital  ESP  matrix  spot metering  auto or preset manual white balance  two compression ratios in Standard Quality mode for more imaging options  and a six mode automatic flash with a new slow synchro flash The auto flash system automatically fires in low light and the fill in flash can fire with every shot  erasing shadows and providing balanced illumination There is an LCD  liquid crystal display  monitor that you can use to show a WYSIWYG  full color view of the picture that you are about to take  You may also view all the pictures stored in the camera on this monitor  Individual pictures can be erased and the memory space released for another shot  Try that with film  You may choose to conserve battery power by turning off the monitor and using the optical viewfinder to frame your picture  There are auto focus marks within the viewfinder to help compose the picture  Just press the shutter release half way and you lock in the focus and exposure settings  A green light tells you when the camera is ready to press the shutter release all the way to capture the picture  It s hard to go wrong  since you need keep only the photos that you want Other features include  sequential shooting  a shutter release timer  date time imprinting capability and picture indexing  It is hard to imagine any normally useful feature that has been omitted  And best of all  they all work as advertised The control panel shows you the camera status  including the state of battery charge  the number of storable pictures  the flash mode  the quality level  the white balance setting  the self timer setting  the spot metering mode  the shooting mode  and just about all the operating parameters and settings  There is no guesswork  you are always presented with all the information  The batteries can be 4 AA alkaline  4 NIMH batteries  AA lithium batteries or AA NiCd batteries  You have a full range of choices The standard package includes  the camera  an 8 MB smart media card  a wrist strap  4 AA batteries  a CD containing the Camedia software  a great fully illustrated manual that leads you through all operations  an RS 232 cable for connecting to the serial port on a PC and a video cable for connecting to a TV to view your pictures The Camedia software will allow you to manipulate and edit your photos  once they are in your computer  You may use the RS 232 cable to download the camera to the PC or any of the third party devices especially made for this purpose  There is an optional power supply available so that you may operate the camera from a standard household outlet  You can really show off your work by using the Video cable to attach your camera to any standard TV  I can t say enough about the manual  It is written in fully understandable English and the illustrations are annotated and leave no room for doubt about each action  It is truly one of the best manuals that I have ever seen  There is also a Quick Start sheet that gets you up and running almost instantly  The attached illustration is from that sheet  This is a concise  clear source of the essentials needed to start taking pictures  In summary  if you have been hesitant to acquire a digital camera because of the high initial cost of a full featured model  hesitate no longer  Olympus has earned a gold medal  
